time,open,high,low,close,tick_volume,spread,real_volume
2015-05-15,2.10365,2.11785,2.10105,2.10663,73447,10,0
2015-05-18,2.11132,2.12465,2.1077,2.11747,61694,6,0
2015-05-19,2.11754,2.12544,2.0907,2.1112,73216,2,0
2015-05-20,2.11121,2.1312,2.10493,2.12541,75250,7,0
2015-05-21,2.12533,2.14832,2.11821,2.13136,67973,4,0
2015-05-22,2.13106,2.13285,2.11429,2.11915,68227,2,0
2015-05-25,2.11519,2.12236,2.11357,2.11554,40500,2,0
2015-05-26,2.11563,2.1306599999999998,2.10902,2.12665,76580,3,0
2015-05-27,2.12678,2.13042,2.11198,2.11286,95525,5,0
2015-05-28,2.11333,2.14291,2.11042,2.13235,114166,4,0
2015-05-29,2.13273,2.15553,2.13006,2.15185,99512,11,0
2015-06-01,2.15738,2.15756,2.13295,2.14354,98888,4,0
2015-06-02,2.14304,2.14948,2.13144,2.13558,115396,2,0
2015-06-03,2.13566,2.14941,2.13343,2.14381,107081,2,0
2015-06-04,2.14401,2.16244,2.13911,2.15416,109240,15,0
2015-06-05,2.15421,2.17094,2.14138,2.16535,137849,3,0
2015-06-08,2.16482,2.16743,2.14288,2.14654,140106,2,0
2015-06-09,2.14854,2.16098,2.13374,2.15626,153175,14,0
2015-06-10,2.15632,2.16222,2.13543,2.15417,169851,2,0
2015-06-11,2.15418,2.22102,2.15418,2.21158,149673,2,0
2015-06-12,2.21186,2.2323399999999998,2.20678,2.2254,134043,2,0
2015-06-15,2.22288,2.23206,2.21542,2.22804,130394,24,0
2015-06-16,2.22814,2.24024,2.22513,2.23825,108867,2,0
2015-06-17,2.23836,2.27828,2.23553,2.26497,126548,2,0
2015-06-18,2.26478,2.30274,2.26322,2.2914,130239,2,0
2015-06-19,2.29134,2.30547,2.28791,2.29717,98162,2,0
2015-06-22,2.2982,2.30613,2.29438,2.30463,101637,2,0
2015-06-23,2.30466,2.30928,2.29272,2.29446,121370,4,0
2015-06-24,2.29358,2.30226,2.27278,2.2782,124397,2,0
2015-06-25,2.2788399999999998,2.2828,2.26716,2.2788399999999998,125095,2,0
2015-06-26,2.27774,2.30759,2.27673,2.3022,107390,8,0
2015-06-29,2.29902,2.31162,2.2861000000000002,2.29642,129211,2,0
2015-06-30,2.29626,2.32843,2.29433,2.32044,116065,2,0
2015-07-01,2.32057,2.32142,2.30484,2.31723,124106,2,0
2015-07-02,2.31722,2.3382,2.3156,2.32087,103661,14,0
2015-07-03,2.32082,2.33841,2.31849,2.3254,91362,20,0
2015-07-06,2.33022,2.33672,2.31772,2.33176,95232,20,0
2015-07-07,2.33177,2.34729,2.31428,2.32378,127561,7,0
2015-07-08,2.32386,2.32998,2.27415,2.28213,131562,3,0
2015-07-09,2.28208,2.29508,2.27563,2.28033,128456,5,0
2015-07-10,2.28022,2.31528,2.26978,2.3092,111883,2,0
2015-07-13,2.31309,2.3253,2.29799,2.31222,113978,3,0
2015-07-14,2.31227,2.3356,2.30922,2.32814,111548,21,0
2015-07-15,2.32922,2.37305,2.32623,2.37163,135730,11,0
2015-07-16,2.3725,2.40218,2.36739,2.39428,116910,2,0
2015-07-17,2.39467,2.39826,2.37566,2.38932,92166,11,0
2015-07-20,2.3922,2.39637,2.3615399999999998,2.36876,106128,10,0
2015-07-21,2.3689299999999998,2.37176,2.33781,2.3466,106961,3,0
2015-07-22,2.34666,2.38097,2.34303,2.37064,110695,6,0
2015-07-23,2.37065,2.37249,2.32919,2.3471,98396,2,0
2015-07-24,2.3472,2.36253,2.34216,2.35752,95082,7,0
2015-07-27,2.36028,2.36168,2.34224,2.35469,127816,39,36662780380
2015-07-28,2.35481,2.3566599999999998,2.32735,2.33236,141383,17,45331624161
2015-07-29,2.33502,2.34713,2.31547,2.33984,142514,39,45442939058
2015-07-30,2.3395,2.37557,2.3362,2.36235,144642,39,41899526356
2015-07-31,2.36188,2.38341,2.34514,2.3663600000000002,149967,39,50689851806
2015-08-03,2.36478,2.37628,2.35561,2.37393,128706,39,43277578647
2015-08-04,2.37337,2.38521,2.35749,2.3779,143447,39,50298252579
2015-08-05,2.37858,2.40296,2.3757099999999998,2.39477,145537,28,54887647351
2015-08-06,2.39509,2.3973,2.36561,2.36592,119625,39,50541273647
2015-08-07,2.36627,2.37479,2.33462,2.33786,124530,39,56093270769
2015-08-10,2.34135,2.3626300000000002,2.3380900000000002,2.35407,86885,27,39517297548
2015-08-11,2.35481,2.38695,2.35131,2.38049,109067,39,54858100312
2015-08-12,2.38212,2.40202,2.35308,2.35649,122203,39,61139705894
2015-08-13,2.35778,2.38152,2.35013,2.37379,109501,28,47443978181
2015-08-14,2.37417,2.3949,2.37303,2.38781,102206,39,37472710414
2015-08-17,2.39145,2.39686,2.36741,2.3695,106422,39,44291585079
2015-08-18,2.37043,2.39041,2.3598,2.37061,124081,39,51184761256
2015-08-19,2.37191,2.38761,2.3675100000000002,2.3728,135359,39,55262074864
2015-08-20,2.37288,2.37892,2.36054,2.36461,140573,39,56339833841
2015-08-21,2.36528,2.37505,2.33777,2.34586,147783,39,59143194414
2015-08-24,2.35001,2.51921,2.34571,2.4332599999999998,171651,9,51847170789
2015-08-25,2.43462,2.44869,2.40293,2.42138,156659,39,54234043339
2015-08-26,2.42223,2.42741,2.39072,2.39857,169501,39,67119954852
2015-08-27,2.401,2.40857,2.37715,2.37992,153629,39,54534150543
2015-08-28,2.38091,2.38888,2.37008,2.37791,130765,39,50320069002
2015-08-31,2.38311,2.43074,2.38118,2.4190300000000002,99009,39,49048382000
2015-09-01,2.4184,2.42631,2.40869,2.41742,126151,10,55046262000
2015-09-02,2.41217,2.42421,2.40185,2.40948,116520,29,56665263000
2015-09-03,2.4095,2.41448,2.37851,2.38301,105457,37,51539595000
2015-09-04,2.38227,2.422,2.38214,2.41417,100435,39,43431018602
2015-09-07,2.40668,2.44711,2.40662,2.43833,99555,39,46265611309
2015-09-08,2.44091,2.45521,2.41865,2.4262,98452,39,46136710500
2015-09-09,2.42489,2.4282500000000002,2.39241,2.40186,110435,39,57635404500
2015-09-10,2.42431,2.46251,2.41791,2.45329,136753,9,73093121706
2015-09-11,2.45282,2.45653,2.4380100000000002,2.44157,92057,10,41726150000
2015-09-14,2.44385,2.44941,2.42706,2.43582,78023,10,42346929000
2015-09-15,2.43565,2.44847,2.40877,2.41411,88322,8,44787388879
2015-09-16,2.41235,2.44763,2.40481,2.43281,96940,11,69400599000
2015-09-17,2.43312,2.45966,2.4226900000000002,2.45441,116122,1,64667949781
2015-09-18,2.45276,2.45605,2.41471,2.41471,119145,11,68976712849
2015-09-21,2.42831,2.46076,2.42456,2.4546200000000002,98497,11,52961849972
2015-09-22,2.45318,2.45915,2.43973,2.43974,96570,39,55216857000
2015-09-23,2.43988,2.45301,2.42296,2.42771,106185,11,66647090500
2015-09-24,2.42718,2.43634,2.3904199999999998,2.3983499999999998,117835,34,68649983000
2015-09-25,2.3969,2.41197,2.37221,2.37736,111463,12,67476814618
2015-09-28,2.38574,2.39891,2.37187,2.39716,104730,2,57521268500
2015-09-29,2.39683,2.41079,2.36905,2.38705,118458,5,68932772000
2015-09-30,2.38753,2.3893,2.35932,2.36397,115425,2,69434928441
2015-10-01,2.3638,2.36982,2.34739,2.36461,109853,5,62585509000
2015-10-02,2.364,2.37713,2.35061,2.35071,110051,2,69048677920
2015-10-05,2.35103,2.35838,2.3247999999999998,2.33307,127843,5,76114380000
2015-10-06,2.33284,2.34318,2.32336,2.3266299999999998,116329,2,67598272000
2015-10-07,2.32635,2.32915,2.30023,2.3172800000000002,114771,1,71250953000
